Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End
Spn	synonym	MGI:2387581	11	+	94991035	95006899
Spn	human synonym	MGI:1858496	7	-	141297176	141327725
Spn	current symbol	MGI:98384	7	-	127132232	127137823
Serpina3m	current symbol	MGI:98378	12	+	104387164	104394257
Tmod1	current symbol	MGI:98775	4	+	46038935	46116032
Gas10	current symbol	MGI:95656	UN		
Serpina3k	western clawed frog symbol	MGI:891967	12	-	103946931	103958975
Serpina3k	western clawed frog symbol	MGI:891968	12	-	103763594	103773592
Serpina3k	western clawed frog symbol	MGI:891969	12	-	103894926	103904887
Serpina3k	western clawed frog symbol	MGI:891970	12	-	103728156	103740515
Serpina3k	western clawed frog symbol	MGI:891971	12	-	103853589	103863562
Serpina3k	current symbol	MGI:98377	12	+	104338486	104346144
Tnnc1	current symbol	MGI:98779	14	+	31208312	31211729
Tnnc1	human synonym	MGI:98783	7	-	4518305	4524229
Tnnc2	current symbol	MGI:98780	2	-	164777161	164779967
Acadl	current symbol	MGI:87866	1	-	66830839	66863277
Gas2	rat synonym	MGI:3652048	11	-	83421902	83429455
Gas2	current symbol	MGI:95657	7	+	51862015	51994975
Atp2a2	current symbol	MGI:88110	5	-	122453513	122502225
Atp2b4	current symbol	MGI:88111	1	-	133699457	133801041
Ndst2	current symbol	MGI:97040	14	-	20723739	20730327
Gas4	current symbol	MGI:95658	UN		
Atp4a	current symbol	MGI:88113	7	+	30712209	30725535
Tnni3	current symbol	MGI:98783	7	-	4518305	4524229
Tnp1	current symbol	MGI:98784	1	-	73015074	73015909
Tnp2	current symbol	MGI:98785	16	-	10787936	10788655
Cpz	current symbol	MGI:88487	5	-	35502218	35525698
Atp4b	current symbol	MGI:88114	8	-	13386209	13396778
Gas6	current symbol	MGI:95660	8	-	13465374	13494535
Atp5a1	current symbol	MGI:88115	18	+	77773729	77782869
Sparc	current symbol	MGI:98373	11	-	55394500	55420080
Top1	current symbol	MGI:98788	2	+	160645888	160722764
Top2a	current symbol	MGI:98790	11	-	98992943	99024189
Top2b	current symbol	MGI:98791	14	+	16365179	16430787
Ppia	current symbol	MGI:97749	11	+	6415443	6419817
Ppia	western clawed frog symbol	MGI:3648545	7	-	121015139	121015633
Ppib	current symbol	MGI:97750	9	+	66060169	66066629
Sox9	current symbol	MGI:98371	11	+	112782224	112787760
Cr2	synonym	MGI:94882	8	+	21378560	21379402
Cr2	current symbol	MGI:88489	1	-	195136811	195176716
C5ar1	current symbol	MGI:88232	7	-	16246743	16259540
C6	current symbol	MGI:88233	15	+	4727175	4815456
C6	human synonym	MGI:1347070	2	-	180036373	180042433
Tpbpa	rat symbol	MGI:2151721	13	-	60901297	60904847
Tpbpa	current symbol	MGI:98795	13	-	60938692	60941935
Tph1	current symbol	MGI:98796	7	-	46647130	46672537
Tpi1	current symbol	MGI:98797	6	-	124810586	124814296
Crabp1	current symbol	MGI:88490	9	+	54764748	54773110
Crabp2	current symbol	MGI:88491	3	+	87948666	87953376
Me1	human synonym	MGI:2136754	18	+	37484795	37489454
Me1	current symbol	MGI:97043	9	-	86581371	86695953
Me1	synonym	MGI:101877	9	-	71842688	72111871
Ppic	current symbol	MGI:97751	18	-	53406341	53418007
C7	current symbol	MGI:88235	15	-	4988762	5063773
C7	synonym	MGI:2179326	15	+	41447482	41861048
C7	synonym	MGI:1352450	5	-	92346638	92348889
C8b	current symbol	MGI:88236	4	+	104766317	104804548
C8g	current symbol	MGI:88237	2	-	25498651	25501719
Tgm3	current symbol	MGI:98732	2	+	130012349	130050399
Tspo	current symbol	MGI:88222	15	+	83563573	83574201
Tgtp1	current symbol	MGI:98734	11	-	48985327	48994172
Th	current symbol	MGI:98735	7	-	142892752	142931128
Th	old symbol	MGI:98740	UN		
Atp1b2	current symbol	MGI:88109	11	-	69599736	69605942
C1qa	current symbol	MGI:88223	4	-	136895917	136898803
Thbd	current symbol	MGI:98736	2	-	148404466	148408188
C1qb	current symbol	MGI:88224	4	-	136880129	136886187
C1qc	current symbol	MGI:88225	4	-	136889804	136893065
C2	current symbol	MGI:88226	17	-	34862604	34898265
C2	synonym	MGI:1347005	7	-	114264606	114276118
C2	human synonym	MGI:107795	14	-	52073380	52104028
C3	current symbol	MGI:88227	17	-	57203970	57228136
C4b	current symbol	MGI:88228	17	-	34728380	34743882
C4b	rat synonym	MGI:98320	17	-	34809092	34823464
Plaur	current symbol	MGI:97612	7	+	24462500	24475873
Thbs1	current symbol	MGI:98737	2	+	118111876	118127133
Il6st	current symbol	MGI:96560	13	+	112464070	112510086
Thbs2	current symbol	MGI:98738	17	-	14665500	14694262
Gnb2	current symbol	MGI:95784	5	-	137528127	137533510
Thbs3	current symbol	MGI:98739	3	+	89215180	89226837
Epb41	current symbol	MGI:95401	4	-	131923413	132075321
Epb42	current symbol	MGI:95402	2	-	121017891	121037072
Stom	current symbol	MGI:95403	2	-	35313986	35336976
Gnb3	current symbol	MGI:95785	6	-	124834240	124840275
Thra	current symbol	MGI:98742	11	+	98740638	98769006
Il7	current symbol	MGI:96561	3	-	7569994	7613760
C4bp	current symbol	MGI:88229	1	-	130634773	130661632
Thrb	current symbol	MGI:98743	14	+	17660960	18038086
Plcb1	current symbol	MGI:97613	2	+	134786067	135475258
Col11a1	current symbol	MGI:88446	3	+	114030540	114220718
Qk	current symbol	MGI:97837	17	-	10206471	10319361
Pomc	current symbol	MGI:97742	12	+	3954951	3960618
Col10a1	current symbol	MGI:88445	10	+	34389981	34397085
Epo	current symbol	MGI:95407	5	-	137483020	137533242
Epo	synonym	MGI:107569	11	-	87864000	87875536
Epo	human synonym	MGI:98752	X	+	20870166	20874735
Epor	current symbol	MGI:95408	9	-	21958899	21963576
Plcd1	current symbol	MGI:97614	9	-	119071527	119093496
Il7r	current symbol	MGI:96562	15	-	9506161	9529876
Il9	current symbol	MGI:96563	13	-	56479277	56482246
Src	current symbol	MGI:98397	2	+	157418444	157471862
Plcg1	current symbol	MGI:97615	2	+	160731300	160775760
mt-Nd3	current symbol	MGI:102499	MT	+	9459	9806
mt-Nd2	current symbol	MGI:102500	MT	+	3914	4951
Plcg2	current symbol	MGI:97616	8	+	117498291	117635140
mt-Cytb	current symbol	MGI:102501	MT	+	14145	15288
mt-Co3	current symbol	MGI:102502	MT	+	8607	9390
mt-Co2	current symbol	MGI:102503	MT	+	7013	7696
mt-Co1	current symbol	MGI:102504	MT	+	5328	6872
Chrna4	current symbol	MGI:87888	2	-	181018380	181043546
Erbb2	current symbol	MGI:95410	11	+	98412470	98437716
Chrna3	current symbol	MGI:87887	9	-	55011343	55026559
Erbb3	current symbol	MGI:95411	10	-	128567523	128589652
Defa-rs7	current symbol	MGI:102509	8	+	21191614	21192549
Defa-rs6	current symbol	MGI:102510	UN		
Chrna2	current symbol	MGI:87886	14	+	66140960	66152948
Gng7	current symbol	MGI:95787	10	-	80948624	81014945
Defa-rs4	current symbol	MGI:102512	UN		
Cyp17a1	current symbol	MGI:88586	19	-	46667165	46672974
Prl2c2	current symbol	MGI:97618	13	-	12996120	13005330
Defa-rs12	current symbol	MGI:102514	UN		
Defa-rs10	current symbol	MGI:102516	UN		
Prl7d1	current symbol	MGI:97619	13	-	27709016	27716737
Guca2a	current symbol	MGI:102738	4	+	119637704	119639471
Ercc1	current symbol	MGI:95412	7	+	19344778	19356524
Pax1	current symbol	MGI:97485	2	+	147361925	147393295
Ercc2	current symbol	MGI:95413	7	+	19382010	19395694
Ercc3	current symbol	MGI:95414	18	+	32240300	32270151
Erg	current symbol	MGI:95415	16	-	95359169	95586593
Pax2	current symbol	MGI:97486	19	+	44756045	44837851
Plg	current symbol	MGI:97620	17	+	12378609	12419384
Cst3	current symbol	MGI:102519	2	-	148871722	148875692
Pax3	current symbol	MGI:97487	1	-	78101267	78197134
Plk1	current symbol	MGI:97621	7	+	122159437	122169875
Pax4	current symbol	MGI:97488	6	-	28442334	28449353
Pln	current symbol	MGI:97622	10	+	53337686	53345999
Acsl1	current symbol	MGI:102797	8	+	46471041	46536051
Plp1	current symbol	MGI:97623	X	+	136822671	136839733
Pax5	current symbol	MGI:97489	4	-	44524757	44710487
Ptpre	current symbol	MGI:97813	7	+	135537824	135686294
Reg2	current symbol	MGI:97896	6	+	78405155	78408097
Reg1	current symbol	MGI:97895	6	+	78422711	78428667
Alas1	current symbol	MGI:87989	9	-	106233455	106248126
Gnrh1	current symbol	MGI:95789	14	+	67745229	67749435
Pmch	current symbol	MGI:97629	10	+	88091072	88092375
Il9r	current symbol	MGI:96564	11	-	32187541	32200279
Pax6	current symbol	MGI:97490	2	+	105668900	105697364
Pmp22	synonym	MGI:107487	5	-	110274282	110286186
Pmp22	current symbol	MGI:97631	11	+	63128982	63159547
Pax7	current symbol	MGI:97491	4	-	139737062	139833528
Fabp6	current symbol	MGI:96565	11	-	43596049	43601540
Gnrhr	current symbol	MGI:95790	5	-	86180754	86197901
Impdh1	current symbol	MGI:96567	6	-	29200434	29216364
Pax8	current symbol	MGI:97492	2	-	24420560	24475599
Cd2	synonym	MGI:88314	6	-	127125162	127152193
Cd2	current symbol	MGI:88320	3	-	101275899	101287939
Pax9	current symbol	MGI:97493	12	+	56691767	56712707
Ina	current symbol	MGI:96568	19	+	47014698	47025327
Ms4a1	human synonym	MGI:95495	19	-	11615523	11623719
Ms4a1	current symbol	MGI:88321	19	-	11249675	11266241
Pou4f3	current symbol	MGI:102523	18	+	42394539	42397249
Cd22	current symbol	MGI:88322	7	-	30865402	30880342
Pou4f2	current symbol	MGI:102524	8	-	78433010	78436645
Inha	current symbol	MGI:96569	1	+	75507077	75510366
Rnf149	current symbol	MGI:2677438	1	-	39551296	39577405
Gzmn	current symbol	MGI:2675494	14	-	56165797	56174596
Thoc6	current symbol	MGI:2677480	17	-	23668614	23673882
Ak5	current symbol	MGI:2677491	3	-	152462815	152668360
Qrfpr	current symbol	MGI:2677633	3	-	36179424	36222313
Tmem251	current symbol	MGI:2443862	12	+	102743687	102745406
Lrrc31	current symbol	MGI:2443864	3	-	30679058	30699843
Nle1	current symbol	MGI:2429770	11	-	82900768	82908411
Lipi	current symbol	MGI:2443868	16	-	75540514	75586061
Lipi	chicken symbol	MGI:2388029	16	-	21953826	21995542
Defb11	synonym	MGI:2179202	8	-	21929799	21932710
Defb11	current symbol	MGI:2179197	8	-	21905376	21906412
Samd10	current symbol	MGI:2443872	2	-	181595218	181599212
Gldn	current symbol	MGI:2388361	9	+	54286486	54341786
Anks1	current symbol	MGI:2446180	17	+	27909340	28062600
Trim31	current symbol	MGI:2385051	17	+	36898118	36910214
BC027072	GenBank	MGI:2385061	17	-	71743557	71752885
BC027072	current symbol	MGI:2385061	17	-	71743557	71752885
Lzts2	current symbol	MGI:2385095	19	+	45015176	45027104
Pprc1	current symbol	MGI:2385096	19	+	46044886	46072915
Defb9	current symbol	MGI:2179198	8	-	21881713	21885421
Fam134a	current symbol	MGI:2388278	1	+	75142778	75147913
Dolk	current symbol	MGI:2677836	2	-	30284231	30286334
Nup188	current symbol	MGI:2446190	2	+	30286397	30344266
Hmcn2	current symbol	MGI:2677838	2	+	31314415	31460738
Mall	current symbol	MGI:2385152	2	-	127704386	127729932
Mettl8	current symbol	MGI:2385142	2	-	70964561	71055583
Ncoa5	current symbol	MGI:2385165	2	-	165000357	165034867
Rrnad1	current symbol	MGI:2387197	3	-	87922601	87930717
Defb7	current symbol	MGI:2179200	8	+	19495097	19497775
Defb7	synonym	MGI:2179205	8	+	21858901	21862011
Ccbl2	current symbol	MGI:2677849	3	+	142701051	142746870
Fam206a	current symbol	MGI:2677850	4	+	56802345	56809601
Kdm4a	current symbol	MGI:2446210	4	-	118136957	118180043
Zbtb11	current symbol	MGI:2443876	16	+	55973883	56008913
Cytip	current symbol	MGI:2183535	2	-	58129137	58195532
Slc4a7	current symbol	MGI:2443878	14	+	14703025	14799943
Lctl	current symbol	MGI:2183549	9	+	64117147	64138118
Nyap1	current symbol	MGI:2443880	5	-	137729899	137741607
Rasal2	current symbol	MGI:2443881	1	-	157135182	157412595
Snx30	human synonym	MGI:2443239	9	-	56917200	56928371
Snx30	current symbol	MGI:2443882	4	+	59805840	59904737
Aldh4a1	current symbol	MGI:2443883	4	+	139622866	139649690
Aldh4a1	rat synonym	MGI:1933546	4	+	139653538	139670280
Strip1	current symbol	MGI:2443884	3	-	107612532	107631694
Ric3	current symbol	MGI:2443887	7	-	109034312	109083331
Cyyr1	current symbol	MGI:2152187	16	-	85421533	85553397
Arfgap1	human synonym	MGI:1913501	15	-	83299740	83350247
Arfgap1	current symbol	MGI:2183559	2	+	180967225	180982526
Ccdc40	current symbol	MGI:2443893	11	+	119228572	119265236
Galnt9	current symbol	MGI:2677965	5	+	110544355	110621380
Galnt9	synonym	MGI:1890480	11	+	57645442	57787514
Gnl2	current symbol	MGI:2385207	4	+	125016585	125055380
Fam76a	current symbol	MGI:2385211	4	-	132899213	132922558
Man1c1	current symbol	MGI:2446214	4	-	134561690	134704290
Sh2d5	current symbol	MGI:2446215	4	+	138250403	138261332
Fry	current symbol	MGI:2443895	5	+	150118645	150497753
Cntnap4	current symbol	MGI:2183572	8	+	112570043	112882717
Homez	current symbol	MGI:2678023	14	-	54852736	54870961
Zfp640	current symbol	MGI:2678025	13	-	66670769	66673330
Sugp2	current symbol	MGI:2678085	8	+	70234226	70279915
Phf21a	current symbol	MGI:2384756	2	+	92184106	92361835
U2af1l4	human synonym	MGI:3655979	7	+	30565427	30567962
U2af1l4	current symbol	MGI:2678374	7	+	30563301	30567960
Rdh19	current symbol	MGI:2678390	10	+	127849928	127861176
6720489N17Rik	current symbol	MGI:2443901	13	-	62603013	62624182
Nell1	current symbol	MGI:2443902	7	+	49974864	50865255
Vmn2r26	current symbol	MGI:2678394	6	+	124024758	124062035
Vwa1	current symbol	MGI:2179729	4	-	155768149	155774698
Nlrp12	current symbol	MGI:2676630	7	-	3218784	3249740
BC016579	current symbol	MGI:2384848	16	-	45626848	45654118
BC016579	GenBank	MGI:2384848	16	-	45626848	45654118
Slc39a14	current symbol	MGI:2384851	14	-	70303469	70351425
Bcorl1	current symbol	MGI:2443910	X	+	48341358	48408049
Cdkl3	current symbol	MGI:2388268	11	+	52004221	52089784
Defb15	current symbol	MGI:2179202	8	-	21929799	21932710
Defb15	synonym	MGI:2179200	8	+	19495097	19497775
Klhl17	current symbol	MGI:2678948	4	-	156229044	156234857
Haus3	current symbol	MGI:2387633	5	-	34153880	34169527
Sh3tc1	current symbol	MGI:2678949	5	-	35697180	35739987
Lrrc66	current symbol	MGI:2387634	5	-	73606642	73632526
Polr2b	current symbol	MGI:2388280	5	+	77310147	77349324
Tmprss11d	current symbol	MGI:2385221	5	-	86302217	86373420
Tmem119	current symbol	MGI:2385228	5	-	113793729	113800516
BC037034	GenBank	MGI:2385896	5	-	138259656	138264033
BC037034	current symbol	MGI:2385896	5	-	138259656	138264033
Tmem184a	current symbol	MGI:2385897	5	-	139802485	139819917
Hdac11	current symbol	MGI:2385252	6	+	91156665	91174692
Bloc1s3	current symbol	MGI:2678952	7	-	19505814	19508331
Kctd15	current symbol	MGI:2385276	7	-	34639014	34655509
Prr12	current symbol	MGI:2679002	7	-	45027707	45052881
Galnt18	current symbol	MGI:2446239	7	-	111471661	111779977
BC030336	current symbol	MGI:2446240	7	+	120677620	120734854
BC030336	GenBank	MGI:2446240	7	+	120677620	120734854
Dcun1d3	current symbol	MGI:2679003	7	-	119853163	119896291
Tnrc6a	current symbol	MGI:2385292	7	+	123123885	123195288
Pddc1	current symbol	MGI:2387178	7	-	141408135	141414136
Slc38a7	current symbol	MGI:2679005	8	-	95835920	95853539
Zfp599	current symbol	MGI:2679006	9	-	22247430	22259895
Elmo3	current symbol	MGI:2679007	8	+	105305601	105310623
Fhod1	current symbol	MGI:2679008	8	-	105329163	105347953
Oog1	current symbol	MGI:2679150	12	+	87602688	87608845
E030030F06Rik	current symbol	MGI:2443919	UN		
Mthfsd	current symbol	MGI:2679252	8	-	121091628	121108392
Zfp454	current symbol	MGI:2679253	11	-	50872720	50887651
Ssh2	current symbol	MGI:2679255	11	+	77216287	77460220
Fn3krp	current symbol	MGI:2679256	11	+	121421401	121431288
Lrit1	current symbol	MGI:2385320	14	+	37054830	37064946
Zfp760	current symbol	MGI:2679257	17	+	21707741	21725636
Irf2bp2	current symbol	MGI:2443921	8	-	126588296	126593986
Lipk	current symbol	MGI:2679259	19	+	34008254	34047903
Crb2	current symbol	MGI:2679260	2	+	37776249	37799103
Mab21l3	current symbol	MGI:2446273	3	-	101813076	101848959
Frmpd1	current symbol	MGI:2446274	4	+	45184875	45285936
Wdr78	current symbol	MGI:2385328	4	-	103038065	103114555
BC048671	GenBank	MGI:2679261	6	+	90301219	90305449
BC048671	current symbol	MGI:2679261	6	+	90301219	90305449
Rgma	current symbol	MGI:2679262	7	+	73375520	73419899
Olfml1	current symbol	MGI:2679264	7	+	107567446	107591094
Glb1l2	current symbol	MGI:2388283	9	-	26763044	26806468
Ift52	current symbol	MGI:2387217	2	+	163017354	163046141
Plekhg3	current symbol	MGI:2388284	12	+	76533560	76579039
Zscan20	current symbol	MGI:2679268	4	-	128583539	128610098
BC035947	current symbol	MGI:2652858	1	-	78497026	78512158
BC035947	GenBank	MGI:2652858	1	-	78497026	78512158
Wdr24	current symbol	MGI:2446285	17	+	25823627	25828730
Zkscan17	current symbol	MGI:2679270	11	-	59485520	59526751
Scml4	current symbol	MGI:2446140	10	+	42860370	42960780
Bahcc1	current symbol	MGI:2679272	11	+	120232947	120292282
Adck5	current symbol	MGI:2679274	15	+	76576358	76595816
Fgd4	current symbol	MGI:2183747	16	-	16416917	16600549
Thsd7b	current symbol	MGI:2443925	1	+	129273302	130219278
Dmxl1	current symbol	MGI:2443926	18	+	49832670	49964254
Sirt7	current symbol	MGI:2385849	11	-	120618372	120625240
Plekhh3	current symbol	MGI:2384950	11	-	101162679	101171351
Disp2	current symbol	MGI:2388733	2	+	118779719	118811293
Aqp12	current symbol	MGI:2664636	1	+	93006334	93012269
Pkd1l2	current symbol	MGI:2664668	8	-	116995679	117082449
Satb2	current symbol	MGI:2679336	1	-	56793981	56978650
Myo3b	current symbol	MGI:2448580	2	+	70083074	70429198
Lcor	current symbol	MGI:2443930	19	+	41482645	41562246
Chtf8	current symbol	MGI:2443370	8	-	106883863	106893601
Pak6	current symbol	MGI:2679420	2	+	118663303	118698020
Relt	current symbol	MGI:2443373	7	-	100845848	100863446
Slitrk1	current symbol	MGI:2679446	14	-	108909991	108914239
Stxbp6	current symbol	MGI:2384963	12	-	44852488	45074493
Slitrk5	current symbol	MGI:2679448	14	+	111675115	111683134
L2hgdh	current symbol	MGI:2384968	12	-	69690436	69724874
Slitrk2	current symbol	MGI:2679449	X	+	66653007	66656488
Map3k15	current symbol	MGI:2448588	X	+	159988433	160123351
Zfp799	current symbol	MGI:2443934	17	-	32815449	32830261
BC030499	current symbol	MGI:2652869	11	+	78290841	78296805
BC030499	GenBank	MGI:2652869	11	+	78290841	78296805
Snapc4	current symbol	MGI:2443935	2	-	26362765	26380653
Slc4a9	current symbol	MGI:2443384	18	+	36528157	36541293
Dbpht2	current symbol	MGI:2679513	12	+	74297474	74300468
Tbc1d16	current symbol	MGI:2652878	11	-	119143045	119228499
Mmp25	current symbol	MGI:2443938	17	-	23629458	23645269
Mmp25	human synonym	MGI:1341867	2	+	155775342	155818366
Mmp25	human synonym	MGI:2153062	11	-	83440768	83463071
Dnajc11	current symbol	MGI:2443386	4	+	151933691	151982137
Dpy19l3	current symbol	MGI:2443952	7	-	35685165	35754454
Mark1	current symbol	MGI:2664902	1	-	184896789	184999570
Hapln4	current symbol	MGI:2679531	8	+	70083529	70090862
Ube2e2	current symbol	MGI:2384997	14	-	18573575	18894267
Lrig3	current symbol	MGI:2443955	10	+	125966219	126015359
Zc3hav1l	current symbol	MGI:2443387	6	-	38287396	38299259
Kdm7a	current symbol	MGI:2443388	6	-	39136623	39206789
Zfp516	current symbol	MGI:2443957	18	+	82910879	83005314
Igfbpl1	current symbol	MGI:1933198	4	-	45809468	45826923
Opn5	current symbol	MGI:2662912	17	-	42556783	42611313
Lrch1	current symbol	MGI:2443390	14	-	74754674	74947877
Tfap2e	current symbol	MGI:2679630	4	-	126716006	126736240
Wwc1	current symbol	MGI:2388637	11	-	35838400	35980527
Trib1	current symbol	MGI:2443397	15	+	59648350	59656550
Cadps2	current symbol	MGI:2443963	6	-	23262773	23839420
Trim50	current symbol	MGI:2664992	5	+	135353295	135368005
Ankrd33	human synonym	MGI:2444029	10	+	128377115	128408704
Ankrd33	current symbol	MGI:2443398	15	+	101115755	101120022
Mib2	current symbol	MGI:2679684	4	-	155654677	155669198
D930015E06Rik	current symbol	MGI:2443399	3	-	83897655	84040175
Cyp26c1	current symbol	MGI:2679699	19	+	37685680	37693307
Slc36a3	current symbol	MGI:2665001	11	-	55124815	55151708
Xkr6	current symbol	MGI:2447765	14	+	63606503	63820809
Ggact	current symbol	MGI:2385008	14	-	122816223	122913757
Megf8	current symbol	MGI:2446294	7	+	25317164	25365917
Mcat	current symbol	MGI:2388651	15	-	83546797	83555711
Mcat	synonym	MGI:3823243	UN		
Mcat	synonym	MGI:3712816	UN		
Gbp5	western clawed frog symbol	MGI:3605620	5	-	105077630	105110277
Gbp5	western clawed frog symbol	MGI:2140937	5	-	105270702	105293698
Gbp5	western clawed frog symbol	MGI:3646307	5	-	105323042	105346472
Gbp5	current symbol	MGI:2429943	3	+	142493978	142522344
Gbp5	western clawed frog symbol	MGI:4359647	5	-	105215699	105239533
Gbp5	western clawed frog symbol	MGI:97072	5	-	105115767	105139586
Prr18	current symbol	MGI:2443403	17	+	8340406	8344112
Brms1	current symbol	MGI:2388804	19	+	5041404	5049917
Brms1	synonym	MGI:1196337	12	+	55836366	55869735
Neurl3	current symbol	MGI:2429944	1	-	36264597	36274679
Neurl3	human synonym	MGI:3643092	17	+	26414829	26446349
Ythdc2	current symbol	MGI:2448561	18	+	44827746	44889724
Dixdc1	current symbol	MGI:2679721	9	-	50662752	50739517
Mex3c	current symbol	MGI:2652843	18	+	73573044	73592575
Cpsf1	current symbol	MGI:2679722	15	-	76595809	76607591
Exoc3	current symbol	MGI:2443972	13	-	74169805	74208700
Il22ra2	current symbol	MGI:2665114	10	+	19621998	19634681
BC048502	GenBank	MGI:2652828	15	-	103438965	103448459
BC048502	current symbol	MGI:2652828	15	-	103438965	103448459
P2rx2	current symbol	MGI:2665170	5	-	110339812	110343212
Tdrd6	current symbol	MGI:2679727	17	-	43615339	43630299
Xpo6	current symbol	MGI:2429950	7	-	126101715	126200501
Zfp628	rat synonym	MGI:3039561	7	+	4922251	4925006
Zfp628	current symbol	MGI:2665174	7	+	4915217	4922003
Sgcz	current symbol	MGI:2388820	8	-	37522298	38661508
Gpr179	current symbol	MGI:2443409	11	-	97332109	97352077
Fndc9	current symbol	MGI:2443410	11	+	46235531	46239872
Prss42	current symbol	MGI:2665280	9	+	110798166	110803754
Nploc4	current symbol	MGI:2679787	11	-	120380370	120437708
Gchfr	current symbol	MGI:2443977	2	+	119167773	119172390
Amdhd2	current symbol	MGI:2443978	17	-	24155833	24163766
Ttc37	current symbol	MGI:2679923	13	+	76098734	76187983
Pgbd5	current symbol	MGI:2429955	8	-	124369049	124439658
Scgn	current symbol	MGI:2384873	13	-	23953456	23991214
Creg2	current symbol	MGI:1928333	1	-	39618406	39651474
Catsperb	current symbol	MGI:2443988	12	+	101404673	101626009
Cd300a	current symbol	MGI:2443411	11	+	114890041	114904654
Cdc73	current symbol	MGI:2384876	1	-	143598800	143702893
Lrrc16b	current symbol	MGI:2448573	14	+	55491093	55508246
Rps6kl1	current symbol	MGI:2443413	12	-	85135596	85151264
Zpld1	current symbol	MGI:2443415	16	-	55225175	55297986
Fbxl13	current symbol	MGI:2443416	5	-	21483847	21645634
Tmem63b	current symbol	MGI:2387609	17	-	45660171	45686905
Rrp36	current symbol	MGI:2385053	17	-	46667458	46674255
Fam20b	current symbol	MGI:2443990	1	-	156678532	156719086
Zfp959	current symbol	MGI:2385058	17	+	55892120	55898928
Rps6kc1	current symbol	MGI:2443419	1	-	190700202	190911770
Rps6kc1	old symbol	MGI:109298	1	-	131053700	131097826
Prmt7	current symbol	MGI:2384879	8	+	106210936	106252794
Fras1	current symbol	MGI:2385368	5	+	96373955	96784728
Gdpgp1	current symbol	MGI:2443429	7	+	80232867	80241006
Chtf18	current symbol	MGI:2384887	17	-	25718926	25727419
Alkbh1	current symbol	MGI:2384034	12	-	87425840	87444017
Slco5a1	current symbol	MGI:2443431	1	-	12866549	12992650
Reep2	current symbol	MGI:2385070	18	+	34840589	34847463
B3gnt4	current symbol	MGI:2680208	5	+	123510460	123511882
Cep126	current symbol	MGI:2680221	9	-	8076633	8134294
Rnpep	current symbol	MGI:2384902	1	-	135262712	135284084
Haus1	current symbol	MGI:2385076	18	-	77757567	77767780
BC021614	GenBank	MGI:2385078	19	-	4057477	4059446
BC021614	current symbol	MGI:2385078	19	-	4057477	4059446
Nags	current symbol	MGI:2387600	11	+	102145513	102149477
A830021K08Rik	current symbol	MGI:2443998	14	null	118705652	118707617
Pde8b	current symbol	MGI:2443999	13	-	95024454	95250336
Micu1	current symbol	MGI:2384909	10	+	59702477	59864132
Tnn	synonym	MGI:1928994	X	-	150645304	150657583
